arm,entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,split
unknown,2.174,0.006038,,,,,,,,1.651,3.333e-05,2.861,0.5522,26550.0,train
unknown,2.646,0.01208,,,,,,,,1.414,7.037e-05,2.454,0.5718,54520.0,train
unknown,1.963,0.01811,,,,,,,,1.454,0.0001,2.1,0.613,83340.0,train
unknown,1.793,0.02415,,,,,,,,1.685,9.996e-05,1.797,0.6583,109700.0,train
unknown,1.835,0.03019,,,,,,,,1.417,9.986e-05,1.801,0.6476,136300.0,train
unknown,1.517,0.03623,,,,,,,,1.366,9.97e-05,1.538,0.6892,164100.0,train
unknown,1.68,0.04226,,,,,,,,1.741,9.949e-05,1.691,0.663,192800.0,train
unknown,1.659,0.0483,,,,,,,,1.695,9.921e-05,1.665,0.6659,220700.0,train
unknown,1.469,0.05434,,,,,,,,1.617,9.888e-05,1.467,0.7029,248600.0,train
unknown,1.426,0.06038,,,,,,,,1.495,9.85e-05,1.424,0.7045,277000.0,train
unknown,1.403,0.06642,,,,,,,,1.531,9.805e-05,1.408,0.7099,305900.0,train
unknown,1.398,0.07245,,,,,,,,1.713,9.756e-05,1.433,0.7017,336000.0,train
unknown,1.287,0.07849,,,,,,,,1.581,9.7e-05,1.302,0.7237,365200.0,train
unknown,1.492,0.08453,,,,,,,,1.525,9.639e-05,1.475,0.6915,393000.0,train
unknown,1.374,0.09057,,,,,,,,1.622,9.573e-05,1.395,0.7027,418800.0,train
unknown,,0.09057,1.341,1.366,0.7164,418800.0,19.33,41.4,5.174,,,,,,eval
unknown,1.404,0.0966,,,,,,,,1.775,9.502e-05,1.406,0.7085,445700.0,train
unknown,1.269,0.1026,,,,,,,,1.679,9.425e-05,1.275,0.7281,475000.0,train
unknown,1.463,0.1087,,,,,,,,1.506,9.343e-05,1.441,0.7018,502100.0,train
unknown,1.368,0.1147,,,,,,,,2.035,9.257e-05,1.418,0.7053,530000.0,train
